Voornaam,Achternaam,email,maandag?,donderdag?,zondag?
Aw,Krekel,Aw@Krekel.com,1,0,0
Ax,Smit,Ax@Smit.com,1,1,0
Ay,de Jong,Ay@de Jong.com,1,0,0
Az,van Beers,Az@van Beers.com,1,1,0
Ba,de Wit,Ba@de Wit.com,1,0,1
Bb,Jansen,Bb@Jansen.com,0,1,1
Bc,Puk,Bc@Puk.com,1,1,0
Bd,Krekel,Bd@Krekel.com,0,1,1
Be,Smit,Be@Smit.com,1,0,1
Bf,de Jong,Bf@de Jong.com,0,1,1
Bg,van Beers,Bg@van Beers.com,1,0,1
Bh,de Wit,Bh@de Wit.com,0,1,1
Bi,Jansen,Bi@Jansen.com,1,1,0
Bj ,Puk,Bj @Puk.com,0,1,0
Bk,Krekel,Bk@Krekel.com,0,1,1
Bl,Smit,Bl@Smit.com,1,0,1
Bm,de Jong,Bm@de Jong.com,0,1,0
Bn,van Beers,Bn@van Beers.com,0,1,0
Bo,de Wit,Bo@de Wit.com,1,0,1
Pietje,Krekel,Pietje@Krekel.com,1,0,1
Japie,Smit,Japie@Smit.com,0,0,1
A,de Jong,A@de Jong.com,0,1,0
B,van Beers,B@van Beers.com,1,0,1
C,de Wit,C@de Wit.com,0,0,1
D,Jansen,D@Jansen.com,0,1,0
E,Puk,E@Puk.com,0,1,0
F,Krekel,F@Krekel.com,1,0,0
G,Smit,G@Smit.com,0,0,1
H,de Jong,H@de Jong.com,1,0,1
I,van Beers,I@van Beers.com,1,0,0
J ,de Wit,J @de Wit.com,1,0,1
K,Jansen,K@Jansen.com,0,1,0
L,Puk,L@Puk.com,1,0,0
M,Krekel,M@Krekel.com,0,1,0
N,Smit,N@Smit.com,1,0,1
O,de Jong,O@de Jong.com,0,0,1
P ,van Beers,P @van Beers.com,0,0,1
Q,de Wit,Q@de Wit.com,1,0,0
R,Jansen,R@Jansen.com,0,1,0
S,Puk,S@Puk.com,1,0,1
T,Krekel,T@Krekel.com,0,0,1
U,Smit,U@Smit.com,0,0,1
V ,de Jong,V @de Jong.com,0,1,0
W,van Beers,W@van Beers.com,1,0,0
X,de Wit,X@de Wit.com,0,1,0
Y,Jansen,Y@Jansen.com,1,0,1
Z,Puk,Z@Puk.com,1,0,1
Aa,Krekel,Aa@Krekel.com,1,0,0
Ab,Smit,Ab@Smit.com,1,0,1
Ac,de Jong,Ac@de Jong.com,1,0,0
Ad,van Beers,Ad@van Beers.com,0,0,1
Ae,de Wit,Ae@de Wit.com,0,1,0
Af,Jansen,Af@Jansen.com,0,0,1
Ag,Puk,Ag@Puk.com,0,0,1
Ah,Krekel,Ah@Krekel.com,1,0,0
Ai,Smit,Ai@Smit.com,1,0,1
Aj ,de Jong,Aj @de Jong.com,0,0,1
Ak,van Beers,Ak@van Beers.com,0,0,1
Al,de Wit,Al@de Wit.com,1,0,0
Am,Jansen,Am@Jansen.com,0,0,1
An,Puk,An@Puk.com,0,1,0
Ao,Krekel,Ao@Krekel.com,1,0,1
Ap ,Smit,Ap @Smit.com,0,0,1
Aq,de Jong,Aq@de Jong.com,0,1,0
Ar,van Beers,Ar@van Beers.com,0,0,1
As,de Wit,As@de Wit.com,1,0,0
At,Jansen,At@Jansen.com,1,0,1
Au,Puk,Au@Puk.com,0,1,0
Av ,Krekel,Av @Krekel.com,0,1,0
Aw,Smit,Aw@Smit.com,0,0,1
Ax,de Jong,Ax@de Jong.com,0,1,0
Ay,van Beers,Ay@van Beers.com,0,1,0
Az,de Wit,Az@de Wit.com,1,0,1
Ba,Jansen,Ba@Jansen.com,1,0,0
Bb,Puk,Bb@Puk.com,0,1,0
Bc,Krekel,Bc@Krekel.com,1,0,0
Bd,Smit,Bd@Smit.com,0,1,0
Be,de Jong,Be@de Jong.com,0,0,1
Bf,van Beers,Bf@van Beers.com,1,0,0
Bg,de Wit,Bg@de Wit.com,0,0,1
Bh,Jansen,Bh@Jansen.com,1,0,1
Bi,Puk,Bi@Puk.com,0,0,1
Bj ,Krekel,Bj @Krekel.com,0,1,0
Bk,Smit,Bk@Smit.com,0,0,1
Bl,de Jong,Bl@de Jong.com,0,0,1
Bm,van Beers,Bm@van Beers.com,1,0,1
Bn,de Wit,Bn@de Wit.com,1,0,1
Bo,de Jong,Bo@de Jong.com,0,0,1
